ROUND,DATE,SITE,SPECIES,NUM_FLORAL_UNITS,NOTES
1,5.4.2021,Memorial South,Magnolia grandifolia,20,
1,5.4.2021,Memorial South,Aesculus hippocastanum,45360,
1,5.4.2021,Memorial South,Acer macrophyllum,21520,
1,5.4.2021,Memorial South,Acer circinatum,7084,
1,5.4.2021,Kensington,Acer sp.,20640,"no confident species ID, potentially Acer saccharinum"
1,5.4.2021,Kensington,Brassica oleracea,54,
1,5.4.2021,Kensington,Sorbus aucuparia,648,
1,5.4.2021,China Creek,Aesculus hippocastanum,38016,
1,5.5.2021,Gordon,Salvia rosemarius,730,
1,5.5.2021,Gordon,Rosa sp.,3,"non-native Rosa cultivar, no species ID possible"
1,5.5.2021,Gordon,Vaccinium corymbosum,240,
1,5.5.2021,Gordon,Malus domestica,240,
1,5.5.2021,Gordon,Rubus idaeus,20,
1,5.5.2021,Gordon,Fragaria x ananassa,12,
1,5.5.2021,Gordon,Viburnum plicatum,2940,
1,5.5.2021,Bobolink,Crataeugus monogyna,52800,Spelling
1,5.5.2021,Kensington,Acer circinatum,80,
1,5.5.2021,Slocan,Malus domestica,126,
1,5.5.2021,Slocan,Crataeugus douglasii,58,Spelling
1,5.5.2021,Slocan,Prunus shirofugen,2352,
1,5.5.2021,Slocan,Acer circinatum,1458,
1,5.5.2021,Falaise,Caltha palustris,659,
1,5.5.2021,Falaise,Cornus sericea,2554,
1,5.5.2021,Falaise,Rubus spectabilis,406,
1,5.5.2021,Falaise,Berberis aquifolium,128,
1,5.5.2021,Falaise,Lonica involucrata,2422,Spelling
1,5.5.2021,Falaise,Cytisus scoparius,2368,
1,5.5.2021,Falaise,Ribes sanguineum,788,
1,5.5.2021,Falaise,Prunus serotina,"15,552",
1,5.12.2021,Balaclava,Cherry decorative,974,
1,5.12.2021,Balaclava,Prunus laurocerasus,153090,
1,5.12.2021,Prince of Wales,Crataegus douglasii,243,
1,5.12.2021,Prince of Wales,Acer circinatum,2304,
1,5.10.2021,Oak Meadows,Cytisus scoparius,5040,
1,5.10.2021,Oak Meadows,Prunus serotina,2604,
1,5.10.2021,Oak Meadows,Malus sp,56,
1,5.10.2021,Oak Meadows,Acer circinatum,144,
1,5.10.2021,Oak Meadows,Lupinus polyphyllus,105,
